"samples"	"ROW_TOTALS"	"total"	"contam"	"prop_c"	"sample_mass"	"PlotNum"	"PlotCond"	"herb.dmg"	"stem.tx"	"Sphingomonas1"	"Pseudomonas1"	"Acetobacteraceae1"	"Pseudomonas2"	"Pseudomonas3"	"Massilia1"	"Massilia2"	"Sphingomonas2"	"Xanthomonas"	"Pseudomonas5"	"Duganella1"	"Microbacteriaceae2"	"Microbacteriaceae1"	"Geobacillus"	"Clavibacter"	"Pseudomonas6"	"Massilia3"	"Pedobacter1"	"Acetobacteraceae2"	"Anoxybacillus"	"Rhizobium1"	"Pseudaminobacter"	"Hyphomicrobium"	"Chryseobacterium1"	"Chryseobacterium2"	"Pedobacter2"	"Methylobacterium1"	"Microbacteriaceae3"	"Sphingomonas5"	"Aureimonas"	"Sphingomonadaceae"	"Polaromonas"	"Janthinobacterium"	"Acinetobacter"	"Neorhizobium"	"Pseudomonas13"	"Methylobacterium2"	"Rhodococcus"	"Escherichia"	"Chryseobacterium3"	"Flavobacterium"	"Hymenobacter1"	"Pedobacter3"	"Sphingomonas9"	"Pseudomonas24"	"Massilia5"	"Arthrobacter"	"Comamonas"	"Pseudomonas19"	"Brevundimonas"	"Hymenobacter2"	"Duganella2"	"Rhizobium3"	"Staphylococcus"	"Devosia"	"Pseudomonas30"	"Pedobacter4"	"Lactococcus"	"Enterococcus"	"Sanguibacter"	"Ramlibacter1"	"Pedobacter5"	"Hymenobacter4"	"Epilithonimonas"	"Ramlibacter2"	"Paenibacillus"	"Cloacibacterium"	"Pseudomonas37"	"Sphingomonas24"	"Methylobacterium4"	"ROW_TOTALS_1perc"
"31"	"NPB13_038_TU"	272	19798	19526	0.9863	0.0893	38	"JA"	0	"JATX"	11	71	0	3	16	0	8	0	0	2	13	4	6	0	0	17	5	0	1	0	0	0	0	0	25	0	0	0	0	0	0	5	32	0	0	3	0	0	0	8	15	0	6	0	0	0	0	0	0	5	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	260
"32"	"NPB13_017_TU"	274	9699	9425	0.9717	0.0605	17	"JA"	0	"JATX"	54	177	0	1	2	0	0	0	0	0	1	0	14	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	261
"33"	"NPB13_037_TU"	284	9717	9433	0.9708	0.0388	37	"SA"	0	"SATX"	10	239	0	2	1	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260
"34"	"NPB13_056_CU"	302	12138	11836	0.9751	0.092	56	"SA"	0	"MC"	29	28	6	19	0	0	4	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	14	0	0	6	0	0	0	287
"35"	"NPB13_008_TU"	330	6087	5757	0.9458	0.106	8	"SA"	0	"SATX"	97	69	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223
"36"	"NPB13_058_TD"	333	8371	8038	0.9602	0.086	58	"M"	1	"MC"	0	154	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	245
"37"	"NPB13_006_TU"	347	9395	9048	0.9631	0.116	6	"JA"	0	"JATX"	7	177	0	21	0	0	0	0	0	19	47	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302
"38"	"NPB13_051_TU"	369	11576	11207	0.9681	0.103	51	"SA"	0	"SATX"	19	27	0	0	0	0	0	0	0	41	0	0	68	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	12	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	188
"39"	"NPB13_010_CU"	406	7032	6626	0.9423	0.0866	10	"M"	0	"MC"	26	185	0	19	0	0	0	0	0	9	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257
"40"	"NPB13_031_CU"	417	22653	22236	0.9816	0.0922	31	"M"	0	"MC"	12	337	0	0	0	0	0	0	0	9	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389
"41"	"NPB13_033_CU"	434	11710	11276	0.9629	0.096	33	"SA"	0	"MC"	20	183	0	42	14	0	0	0	0	4	0	0	13	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287
"42"	"NPB13_031_TU"	454	8046	7592	0.9436	0.0943	31	"M"	0	"MC"	112	268	0	2	0	0	0	1	0	8	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413
"43"	"NPB13_041_TD"	483	7198	6715	0.9329	0.026	41	"M"	0	"MC"	12	417	0	0	0	0	0	0	0	4	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470
"44"	"NPB13_054_CU"	537	9134	8597	0.9412	0.091	54	"SA"	0	"MC"	95	325	0	0	0	0	6	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	4	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498
"45"	"NPB13_054_TU"	538	15993	15455	0.9664	0.0897	54	"SA"	0	"SATX"	173	84	0	0	10	59	1	0	2	16	80	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	37	0	25	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	514
"46"	"NPB13_018_CU"	590	12695	12105	0.9535	0.0826	18	"M"	0	"MC"	0	564	0	0	0	0	0	0	0	0	0	0	3	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	582
"47"	"NPB13_046_TU"	665	14053	13388	0.9527	0.0956	46	"JA"	0	"JATX"	42	461	1	33	15	1	2	0	0	60	10	1	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	647
"48"	"NPB13_030_CU"	666	6467	5801	0.897	0.0746	30	"SA"	0	"MC"	32	24	0	111	54	0	2	0	0	286	18	0	0	0	0	116	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	662
"49"	"NPB13_040_TU"	679	11043	10364	0.9385	0.0822	40	"SA"	0	"SATX"	17	635	0	4	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	675
"50"	"NPB13_045_TU"	710	4035	3325	0.824	0.125	45	"JA"	0	"JATX"	40	442	4	47	8	0	1	0	0	46	11	3	35	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	4	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	671
"51"	"NPB13_015_CU"	747	6331	5584	0.882	0.0921	15	"M"	0	"MC"	227	151	0	24	16	18	0	1	0	170	2	1	30	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	710
"52"	"NPB13_043_TD"	750	11833	11083	0.9366	0.0243	43	"M"	1	"MC"	0	385	0	0	0	0	0	0	0	7	298	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	750
"53"	"NPB13_029_TU"	754	14249	13495	0.9471	0.0739	29	"JA"	0	"JATX"	11	381	0	30	2	1	1	0	0	34	1	0	0	0	0	3	0	0	0	17	0	0	0	0	0	0	0	0	15	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	716
"54"	"NPB13_012_CU"	780	13600	12820	0.9426	0.0819	12	"JA"	0	"MC"	5	512	0	5	0	0	0	0	3	0	0	0	21	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	134	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	701
"55"	"NPB13_017_TD"	785	16383	15598	0.9521	0.0612	17	"JA"	1	"JATX"	163	554	0	0	0	0	0	9	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	5	1	0	0	8	0	2	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	780
"56"	"NPB13_001_TU"	801	8579	7778	0.9066	0.12	1	"JA"	0	"JATX"	333	139	0	58	0	81	0	0	0	6	29	33	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	702
"57"	"NPB13_058_TU"	870	9250	8380	0.9059	0.097	58	"M"	0	"MC"	176	349	0	1	0	86	26	12	1	6	43	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	93	1	0	0	0	0	4	0	0	0	0	0	0	0	0	24	11	1	0	0	0	0	0	1	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	858
"58"	"NPB13_043_TU"	884	7486	6602	0.8819	0.0892	43	"M"	0	"MC"	725	107	0	1	0	0	0	0	3	0	6	3	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	865
"59"	"NPB13_011_TU"	929	11207	10278	0.9171	0.0866	11	"SA"	0	"SATX"	638	30	0	2	2	0	0	5	0	11	0	7	29	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	745
"60"	"NPB13_027_CU"	1022	12470	11448	0.918	0.0741	27	"JA"	0	"MC"	81	615	0	21	18	0	31	0	0	71	16	0	0	0	0	17	19	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	52	0	0	0	0	8	0	14	0	0	0	0	0	1	0	10	7	0	0	4	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1000
"61"	"NPB13_044_TU"	1032	19575	18543	0.9473	0.1023	44	"JA"	0	"JATX"	36	970	0	0	2	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1025
"62"	"NPB13_009_CU"	1047	12104	11057	0.9135	0.068	9	"M"	0	"MC"	173	287	0	11	17	0	0	5	0	12	0	0	10	0	0	10	7	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	547
"63"	"NPB13_048_CU"	1113	10549	9436	0.8945	0.0769	48	"SA"	0	"MC"	49	788	0	5	0	0	19	0	1	25	0	0	7	0	0	0	13	0	0	146	0	0	0	0	2	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	2	8	6	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	1097
"64"	"NPB13_015_TU"	1149	1247	98	0.0786	0.1042	15	"M"	0	"MC"	31	1035	0	0	6	0	1	0	0	0	11	0	0	0	0	3	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1104
"65"	"NPB13_048_TU"	1336	13996	12660	0.9045	0.1056	48	"SA"	0	"SATX"	93	679	0	118	12	0	0	0	0	23	9	24	176	0	0	9	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1160
